RESERVATION_DATE	CHAR_RESERVATION_DATE	MARKET_CODE_SEQ	MARKET_CODE	MARKET_CODE_DESCRIPTION	S_DEF_ROOMS_DAY	S_DEF_ROOMS_MKT	S_REV_DAY	S_REV_MKT	DAY_ROOMS	TOT_ARR_DAY	TOT_ARR_MKT	ARRIVAL_RMS_DAY	ARR_RMS_MKT	GUEST_DAY	GUEST_MKT	DOUBLE_OCC_DAY	DOUBLE_OCC_MKT	SINGLE_OCC_DAY	SINGLE_OCC_MKT	PER_DOUBLE_MKT	PER_DOUBLE_OCC_DAY	PER_OCC_DAY	PER_OCC_MKT	CS_SUM_OO_MKT	CS_AVG_OO_DAY	NO_DEFINITE_ROOMS	ARRIVAL_RMS	NO_OF_GUESTS	SINGLE_OCCUPANCY	MULTI_OCCUPANCY	TOTAL_REVENUE	OO_ROOMS	PRINT_NO_OF_ROOMS	GET_ARR	PER_OCC	MULTI_OCC_PER
07-JUL-21	07-07-21	AL4FY	AL4FY	AL4FY	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	ALHSC	ALHSC	ALHSC	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	ALHY0	ALHY0	ALHY0	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	ALIQC	ALIQC	ALIQC	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	ALJ2R	ALJ2R	ALJ2R	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	ALT29	ALT29	ALT29	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	AP027	AP027	AP027	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	AP043	AP043	AP043	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	AP05L	AP05L	AP05L	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	APENT	APENT	APENT	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	APORG	APORG	APORG	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	APWTT	APWTT	APWTT	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	HOUSE	HOUSE	HOUSE	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IBGP1	IBGP1	IBGP1	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDA00	IDA00	IDA00	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDA0G	IDA0G	IDA0G	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDA10	IDA10	IDA10	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDA12	IDA12	IDA12	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDA15	IDA15	IDA15	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDA20	IDA20	IDA20	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDA25	IDA25	IDA25	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDAAA	IDAAA	IDAAA	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDACC	IDACC	IDACC	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDACP	IDACP	IDACP	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDAFS	IDAFS	IDAFS	58	1	5988.95	133.95		103.257759	133.95	15	1	75	2	9	1	49	0	100	15.5172414	74.3589744	1.28205128	2	2	1	1	2	0	1	133.95	2	1	133.95	1.28205128	100
07-JUL-21	07-07-21	IDAGP	IDAGP	IDAGP	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDAIB	IDAIB	IDAIB	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
07-JUL-21	07-07-21	IDAMR	IDAMR	IDAMR	58	0	5988.95	0		103.257759	0	15	0	75	0	9	0	49	0	0	15.5172414	74.3589744	0	2	2	0	0	0	0	0	0	2	0	0	0	0
