RESERVATION_DATE	CHAR_RESERVATION_DATE	MARKET_CODE_SEQ	MARKET_CODE	MARKET_CODE_DESCRIPTION	S_DEF_ROOMS_DAY	S_DEF_ROOMS_MKT	S_REV_DAY	S_REV_MKT	DAY_ROOMS	TOT_ARR_DAY	TOT_ARR_MKT	ARRIVAL_RMS_DAY	ARR_RMS_MKT	GUEST_DAY	GUEST_MKT	DOUBLE_OCC_DAY	DOUBLE_OCC_MKT	SINGLE_OCC_DAY	SINGLE_OCC_MKT	PER_DOUBLE_MKT	PER_DOUBLE_OCC_DAY	PER_OCC_DAY	PER_OCC_MKT	CS_SUM_OO_MKT	CS_AVG_OO_DAY	NO_DEFINITE_ROOMS	ARRIVAL_RMS	NO_OF_GUESTS	SINGLE_OCCUPANCY	MULTI_OCCUPANCY	TOTAL_REVENUE	OO_ROOMS	PRINT_NO_OF_ROOMS	GET_ARR	PER_OCC	MULTI_OCC_PER
19-JUL-21	07-19-21	AL4FY	AL4FY	AL4FY	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	ALHSC	ALHSC	ALHSC	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	ALHY0	ALHY0	ALHY0	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	ALIQC	ALIQC	ALIQC	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	ALJ2R	ALJ2R	ALJ2R	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	ALT29	ALT29	ALT29	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	AP027	AP027	AP027	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	AP043	AP043	AP043	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	AP05L	AP05L	AP05L	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
19-JUL-21	07-19-21	APENT	APENT	APENT	60	0	7345.01	0		122.416833	0	38	0	84	0	17	0	43	0	0	28.3333333	77.9220779	0	3	3	0	0	0	0	0	0	3	0	0	0	0
